,lng,lat,MinMax_PCA_Crime_Labels,Robust_PCA_Crime_Labels,MinMax_PCA_Crimeless_Labels,Robust_PCA_Crimeless_Labels,MinMax_Non_PCA_Crime_Labels,Robust__Non_PCA_Crime_Labels,MinMax_Non_PCA_Crimeless_Labels,Robust__Non_PCA_Crimeless_Labels
5432,-0.358671020400839,51.412078370584,0,1,2,1,0,1,2,1
5433,-0.344254167439931,51.4030801690325,0,1,2,1,0,1,2,1
5434,-0.344251772919681,51.4053297194204,0,1,2,1,0,1,2,1
5435,-0.362276120183885,51.4143279209719,0,1,2,1,0,1,2,1
5436,-0.355062548803058,51.4143279209719,0,1,2,1,0,1,2,1
5437,-0.347857848892474,51.4053297194204,0,1,2,1,0,1,2,1
5438,-0.297283362562895,51.4480711767901,0,1,2,1,0,1,2,1
5439,-0.333386667149181,51.4413225256265,0,1,2,1,0,1,2,1
5440,-0.322577241186141,51.4300747736871,0,1,2,1,0,1,2,1
5441,-0.279152008060076,51.4818144326083,0,1,2,1,0,1,2,1
5442,-0.293595589454358,51.4840639829962,0,1,2,1,0,1,2,1
5443,-0.286376248726255,51.4818144326083,0,1,2,1,0,1,2,1
5444,-0.282753258733587,51.4863135333841,0,1,2,1,0,1,2,1
5445,-0.264760418142926,51.4615684791174,0,1,2,1,0,1,2,1
5446,-0.257606074268434,51.4390729752386,0,1,2,1,0,1,2,1
5447,-0.246779856325717,51.4390729752386,0,1,2,1,0,1,2,1
5448,-0.26116938319406,51.4548198279538,0,1,2,1,0,1,2,1
5449,-0.24315636359234,51.4435720760143,0,1,2,1,0,1,2,1
5450,-0.250381574890154,51.4413225256265,0,1,2,1,0,1,2,1
5451,-0.246743854528024,51.450320727178,0,1,2,1,0,1,2,1
5452,-0.264791995765601,51.450320727178,0,1,2,1,0,1,2,1
5453,-0.257552727883054,51.4570693783416,0,1,2,1,0,1,2,1
5454,-0.253997334954195,51.4390729752386,0,1,2,1,0,1,2,1
5455,-0.261156395497901,51.4593189287295,0,1,2,1,0,1,2,1
5456,-0.257612738672142,51.4368234248507,0,1,2,1,0,1,2,1
