,hospital_250,train_station_250,bus_station_250,park_250,place_of_worship_250,liquor_store_250,hospital_500,train_station_500,bus_station_500,park_500,place_of_worship_500,liquor_store_500,hospital_750,train_station_750,bus_station_750,park_750,place_of_worship_750,liquor_store_750,lng,lat
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100600763528465,51.4074975373668
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.093388447084222,51.4074975373668
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0789638141957352,51.4074975373668
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0861761306399786,51.4074975373668
31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0717514977514918,51.4074975373668
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129453221984069,51.402998436591
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115030008063862,51.402998436591
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122241615023965,51.402998436591
35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.100606794143655,51.402998436591
36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.107818401103758,51.402998436591
37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0933951871835514,51.402998436591
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.086183580223448,51.402998436591
39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0645487593431375,51.402998436591
40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.071760366303241,51.402998436591
41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0789719732633445,51.402998436591
42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.057337152383034,51.402998436591
43,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.0501255454229306,51.402998436591
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122245516174569,51.3984993358152
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129456413834563,51.3984993358152
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115034618514575,51.3984993358152
47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.107823720854582,51.3984993358152
48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100612823194588,51.3984993358152
49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0934019255345944,51.3984993358152
50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0861910278746007,51.3984993358152
51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.078980130214607,51.3984993358152
52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0717692325546133,51.3984993358152
53,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.0573474372346259,51.3984993358152
54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0645583348946196,51.3984993358152
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129459604857205,51.3940002350395
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115039227769503,51.3940002350395
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122249416313354,51.3940002350395
58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.107829039225652,51.3940002350395
59,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.0934086621379497,51.3940002350395
60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.100618850681801,51.3940002350395
61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0861984735940987,51.3940002350395
62,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.0789882850502477,51.3940002350395
63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0717780965063967,51.3940002350395
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0645679079625456,51.3940002350395
65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0501475308748436,51.3940002350395
66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0429373423309925,51.3940002350395
