,District,Description,POLYGON_ID,GridName,lng,lat,hospital_500,train_station_500,bus_station_500,park_500,place_of_worship_500,hospital_1000,train_station_1000,bus_station_1000,park_1000,place_of_worship_1000,hospital_1500,train_station_1500,bus_station_1500,park_1500,place_of_worship_1500
68,City of Leicester (B),Unitary Authority,97712,Grid8_7,-1.09000507517012,52.6240174006386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,City of Leicester (B),Unitary Authority,97712,Grid9_7,-1.07518358814733,52.6240174006386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,City of Leicester (B),Unitary Authority,97712,Grid10_7,-1.06036210112453,52.6240174006386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,City of Leicester (B),Unitary Authority,97712,Grid2_8,-1.17894161188631,52.6150191990871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,City of Leicester (B),Unitary Authority,97712,Grid6_7,-1.11964804921572,52.6240174006386,0,0,0,6,0,5,0,1,12,2,5,1,6,18,13
73,City of Leicester (B),Unitary Authority,97712,Grid4_8,-1.14930472950423,52.6150191990871,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
74,City of Leicester (B),Unitary Authority,97712,Grid5_8,-1.13448628831319,52.6150191990871,1,0,0,0,0,1,0,1,1,0,5,0,1,4,0
75,City of Leicester (B),Unitary Authority,97712,Grid7_8,-1.10484940593112,52.6150191990871,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,City of Leicester (B),Unitary Authority,97712,Grid8_8,-1.09003096474008,52.6150191990871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,City of Leicester (B),Unitary Authority,97712,Grid6_8,-1.11966784712216,52.6150191990871,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0
78,City of Leicester (B),Unitary Authority,97712,Grid10_8,-1.06039408235801,52.6150191990871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,City of Leicester (B),Unitary Authority,97712,Grid9_8,-1.07521252354904,52.6150191990871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,City of Leicester (B),Unitary Authority,97712,Grid3_9,-1.16413382544721,52.6060209975356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,City of Leicester (B),Unitary Authority,97712,Grid4_9,-1.14931842847101,52.6060209975356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,City of Leicester (B),Unitary Authority,97712,Grid8_9,-1.09005684056622,52.6060209975356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,City of Leicester (B),Unitary Authority,97712,Grid6_9,-1.11968763451861,52.6060209975356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,City of Leicester (B),Unitary Authority,97712,Grid7_9,-1.10487223754241,52.6060209975356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,City of Leicester (B),Unitary Authority,97712,Grid2_10,-1.17895682892107,52.597022795984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,City of Leicester (B),Unitary Authority,97712,Grid4_10,-1.1493321201668,52.597022795984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,City of Leicester (B),Unitary Authority,97712,Grid3_10,-1.16414447454394,52.597022795984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,City of Leicester (B),Unitary Authority,97712,Grid5_10,-1.13451976578967,52.597022795984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,City of Leicester (B),Unitary Authority,97712,Grid6_10,-1.11970741141254,52.597022795984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,City of Leicester (B),Unitary Authority,97712,Grid7_10,-1.10489505703541,52.597022795984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,City of Leicester (B),Unitary Authority,97712,Grid3_8,-1.16412317069527,52.6150191990871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,City of Leicester (B),Unitary Authority,97712,Grid5_9,-1.13450303149481,52.6060209975356,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
93,City of Leicester (B),Unitary Authority,97712,Grid3_11,-1.16415511798946,52.5880245944325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,City of Leicester (B),Unitary Authority,97712,Grid5_11,-1.13453649120407,52.5880245944325,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
95,City of Leicester (B),Unitary Authority,97712,Grid6_11,-1.11972717781138,52.5880245944325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,City of Leicester (B),Unitary Authority,97712,Grid3_12,-1.1641657557878,52.579026392881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,City of Leicester (B),Unitary Authority,97712,Grid4_12,-1.14935948176605,52.579026392881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,City of Leicester (B),Unitary Authority,97712,Grid2_11,-1.17896443138216,52.5880245944325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,City of Leicester (B),Unitary Authority,97712,Grid4_11,-1.14934580459677,52.5880245944325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
